user_id,login_time,country,bytes_sent,duration_sec,failed_attempts,label
1001,2026-01-05 08:14,US,15230,42,0,normal
1002,2026-01-05 08:17,US,8800,31,1,normal
1003,2026-01-05 08:20,GB,12100,55,0,normal
1004,2026-01-05 08:25,us,9500,,0,normal
1005,2026-01-05 08:31,DE,7200,38,2,normal
1006,2026-01-05 08:33,US,1050000,3,14,suspicious
1007,2026-01-05 08:40,FR,10300,47,0,normal
1008,2026-01-05 08:44,US,N/A,50,1,normal
1009,2026-01-05 08:50,gb,11200,44,0,normal
1010,2026-01-05 08:55,US,9900,-12,0,normal
1011,2026-01-05 09:01,RU,980000,2,22,suspicious
1002,2026-01-05 08:17,US,8800,31,1,normal
1012,2026-01-05 09:10,US,8600,36,0,normal
1013,2026-01-05 09:14,DE,7800,41,3,normal
1014,2026-01-05 09:20,US,,29,0,normal
1015,2026-01-05 09:25,FR,10100,52,0,normal
1016,2026-01-05 09:31,US,12500,48,1,normal
1017,2026-01-05 09:36,CN,1120000,4,31,suspicious
1018,2026-01-05 09:40,US,9300,39,0,normal
1019,2026-01-05 09:45,GB,11800,46,0,
1020,2026-01-05 09:50,US,8900,33,0,normal
1021,2026-01-05 09:55,de,7600,40,2,normal
1022,2026-01-05 10:01,US,10800,45,0,normal
1023,2026-01-05 10:06,US,9700,999,0,normal
1024,2026-01-05 10:11,FR,10500,49,1,normal
1025,2026-01-05 10:16,US,8400,35,0,normal
1006,2026-01-05 08:33,US,1050000,3,14,suspicious
1026,2026-01-05 10:22,US,11100,43,0,normal
1027,2026-01-05 10:27,GB,12200,,0,normal
1028,2026-01-05 10:32,RU,1010000,2,18,suspicious
1029,2026-01-05 10:37,US,9600,37,0,normal
1030,2026-01-05 10:42,US,8700,34,0,NORMAL
1031,2026-01-05 10:47,DE,7900,42,1,normal
1032,2026-01-05 10:52,us,10200,,0,normal
1033,2026-01-05 10:57,FR,10700,51,0,normal
1034,2026-01-05 11:02,US,-500,45,0,normal
1035,2026-01-05 11:07,US,9100,38,0,normal
